候选编号,服务区编号,机型编号,货箱列表,箱数,总质量_kg,总体积_m3,往返能耗_kWh,累计作业时间_s,质量上限_kg,体积上限_m3,首批箱数,优先级总分
16536,S001,C,S001-WAT-03|S001-WAT-04|S001-WAT-05|S001-WAT-07|S001-FOD-03|S001-HYG-01|S001-HYG-02,7,76.0,0.20600000000000002,2.9348794824245474,1580.6555751004735,80.0,0.25,0,74.0
16537,S001,C,S001-WAT-03|S001-WAT-04|S001-WAT-05|S001-WAT-07|S001-FOD-03|S001-HYG-02,6,70.0,0.171,2.736852121903949,1514.6555751004735,80.0,0.25,0,66.0
16538,S001,C,S001-WAT-03|S001-WAT-04|S001-WAT-05|S001-WAT-07|S001-HYG-01,5,62.0,0.14300000000000002,2.536719201172764,1448.6555751004735,80.0,0.25,0,56.0
16539,S001,C,S001-WAT-03|S001-WAT-04|S001-WAT-05|S001-WAT-07|S001-HYG-01|S001-HYG-02,6,68.0,0.17800000000000002,2.680994819242537,1514.6555751004735,80.0,0.25,0,64.0
16540,S001,C,S001-WAT-03|S001-WAT-04|S001-WAT-05|S001-WAT-07|S001-HYG-02,5,62.0,0.14300000000000002,2.536719201172764,1448.6555751004735,80.0,0.25,0,56.0
16541,S001,C,S001-WAT-03|S001-WAT-04|S001-WAT-05|S001-WAT-08,4,56.0,0.108,2.419978342213394,1382.6555751004735,80.0,0.25,0,48.0
16542,S001,C,S001-WAT-03|S001-WAT-04|S001-WAT-05|S001-WAT-08|S001-FOD-01,5,64.0,0.136,2.5813312717293537,1448.6555751004735,80.0,0.25,0,58.0
16543,S001,C,S001-WAT-03|S001-WAT-04|S001-WAT-05|S001-WAT-08|S001-FOD-01|S001-FOD-02,6,72.0,0.164,2.797374326694065,1514.6555751004735,80.0,0.25,0,68.0
16544,S001,C,S001-WAT-03|S001-WAT-04|S001-WAT-05|S001-WAT-08|S001-FOD-01|S001-FOD-02|S001-FOD-03,7,80.0,0.192,3.0996533080482007,1580.6555751004735,80.0,0.25,0,78.0
16545,S001,C,S001-WAT-03|S001-WAT-04|S001-WAT-05|S001-WAT-08|S001-FOD-01|S001-FOD-02|S001-HYG-01,7,78.0,0.199,3.0133840801392706,1580.6555751004735,80.0,0.25,0,76.0
16546,S001,C,S001-WAT-03|S001-WAT-04|S001-WAT-05|S001-WAT-08|S001-FOD-01|S001-FOD-02|S001-HYG-02,7,78.0,0.199,3.0133840801392706,1580.6555751004735,80.0,0.25,0,76.0
16547,S001,C,S001-WAT-03|S001-WAT-04|S001-WAT-05|S001-WAT-08|S001-FOD-01|S001-FOD-03,6,72.0,0.164,2.797374326694065,1514.6555751004735,80.0,0.25,0,68.0
16548,S001,C,S001-WAT-03|S001-WAT-04|S001-WAT-05|S001-WAT-08|S001-FOD-01|S001-FOD-03|S001-HYG-01,7,78.0,0.199,3.0133840801392706,1580.6555751004735,80.0,0.25,0,76.0
16549,S001,C,S001-WAT-03|S001-WAT-04|S001-WAT-05|S001-WAT-08|S001-FOD-01|S001-FOD-03|S001-HYG-02,7,78.0,0.199,3.0133840801392706,1580.6555751004735,80.0,0.25,0,76.0
16550,S001,C,S001-WAT-03|S001-WAT-04|S001-WAT-05|S001-WAT-08|S001-FOD-01|S001-HYG-01,6,70.0,0.171,2.736852121903949,1514.6555751004735,80.0,0.25,0,66.0
16551,S001,C,S001-WAT-03|S001-WAT-04|S001-WAT-05|S001-WAT-08|S001-FOD-01|S001-HYG-01|S001-HYG-02,7,76.0,0.20600000000000002,2.9348794824245474,1580.6555751004735,80.0,0.25,0,74.0
16552,S001,C,S001-WAT-03|S001-WAT-04|S001-WAT-05|S001-WAT-08|S001-FOD-01|S001-HYG-02,6,70.0,0.171,2.736852121903949,1514.6555751004735,80.0,0.25,0,66.0
16553,S001,C,S001-WAT-03|S001-WAT-04|S001-WAT-05|S001-WAT-08|S001-FOD-02,5,64.0,0.136,2.5813312717293537,1448.6555751004735,80.0,0.25,0,58.0
16554,S001,C,S001-WAT-03|S001-WAT-04|S001-WAT-05|S001-WAT-08|S001-FOD-02|S001-FOD-03,6,72.0,0.164,2.797374326694065,1514.6555751004735,80.0,0.25,0,68.0
16555,S001,C,S001-WAT-03|S001-WAT-04|S001-WAT-05|S001-WAT-08|S001-FOD-02|S001-FOD-03|S001-HYG-01,7,78.0,0.199,3.0133840801392706,1580.6555751004735,80.0,0.25,0,76.0
16556,S001,C,S001-WAT-03|S001-WAT-04|S001-WAT-05|S001-WAT-08|S001-FOD-02|S001-FOD-03|S001-HYG-02,7,78.0,0.199,3.0133840801392706,1580.6555751004735,80.0,0.25,0,76.0
16557,S001,C,S001-WAT-03|S001-WAT-04|S001-WAT-05|S001-WAT-08|S001-FOD-02|S001-HYG-01,6,70.0,0.171,2.736852121903949,1514.6555751004735,80.0,0.25,0,66.0
16558,S001,C,S001-WAT-03|S001-WAT-04|S001-WAT-05|S001-WAT-08|S001-FOD-02|S001-HYG-01|S001-HYG-02,7,76.0,0.20600000000000002,2.9348794824245474,1580.6555751004735,80.0,0.25,0,74.0
16559,S001,C,S001-WAT-03|S001-WAT-04|S001-WAT-05|S001-WAT-08|S001-FOD-02|S001-HYG-02,6,70.0,0.171,2.736852121903949,1514.6555751004735,80.0,0.25,0,66.0
16560,S001,C,S001-WAT-03|S001-WAT-04|S001-WAT-05|S001-WAT-08|S001-FOD-03,5,64.0,0.136,2.5813312717293537,1448.6555751004735,80.0,0.25,0,58.0
16561,S001,C,S001-WAT-03|S001-WAT-04|S001-WAT-05|S001-WAT-08|S001-FOD-03|S001-HYG-01,6,70.0,0.171,2.736852121903949,1514.6555751004735,80.0,0.25,0,66.0
16562,S001,C,S001-WAT-03|S001-WAT-04|S001-WAT-05|S001-WAT-08|S001-FOD-03|S001-HYG-01|S001-HYG-02,7,76.0,0.20600000000000002,2.9348794824245474,1580.6555751004735,80.0,0.25,0,74.0
16563,S001,C,S001-WAT-03|S001-WAT-04|S001-WAT-05|S001-WAT-08|S001-FOD-03|S001-HYG-02,6,70.0,0.171,2.736852121903949,1514.6555751004735,80.0,0.25,0,66.0
16564,S001,C,S001-WAT-03|S001-WAT-04|S001-WAT-05|S001-WAT-08|S001-HYG-01,5,62.0,0.14300000000000002,2.536719201172764,1448.6555751004735,80.0,0.25,0,56.0
16565,S001,C,S001-WAT-03|S001-WAT-04|S001-WAT-05|S001-WAT-08|S001-HYG-01|S001-HYG-02,6,68.0,0.17800000000000002,2.680994819242537,1514.6555751004735,80.0,0.25,0,64.0
16566,S001,C,S001-WAT-03|S001-WAT-04|S001-WAT-05|S001-WAT-08|S001-HYG-02,5,62.0,0.14300000000000002,2.536719201172764,1448.6555751004735,80.0,0.25,0,56.0
16567,S001,C,S001-WAT-03|S001-WAT-04|S001-WAT-05|S001-FOD-01,4,50.0,0.109,2.3239609322706523,1382.6555751004735,80.0,0.25,0,46.0
16568,S001,C,S001-WAT-03|S001-WAT-04|S001-WAT-05|S001-FOD-01|S001-FOD-02,5,58.0,0.137,2.4563073282824512,1448.6555751004735,80.0,0.25,0,56.0
16569,S001,C,S001-WAT-03|S001-WAT-04|S001-WAT-05|S001-FOD-01|S001-FOD-02|S001-FOD-03,6,66.0,0.165,2.629298699872833,1514.6555751004735,80.0,0.25,0,66.0
16570,S001,C,S001-WAT-03|S001-WAT-04|S001-WAT-05|S001-FOD-01|S001-FOD-02|S001-FOD-03|S001-HYG-01,7,72.0,0.2,2.797374326694065,1580.6555751004735,80.0,0.25,0,74.0
16571,S001,C,S001-WAT-03|S001-WAT-04|S001-WAT-05|S001-FOD-01|S001-FOD-02|S001-FOD-03|S001-HYG-01|S001-HYG-02,8,78.0,0.235,3.0133840801392706,1646.6555751004735,80.0,0.25,0,82.0
16572,S001,C,S001-WAT-03|S001-WAT-04|S001-WAT-05|S001-FOD-01|S001-FOD-02|S001-FOD-03|S001-HYG-02,7,72.0,0.2,2.797374326694065,1580.6555751004735,80.0,0.25,0,74.0
16573,S001,C,S001-WAT-03|S001-WAT-04|S001-WAT-05|S001-FOD-01|S001-FOD-02|S001-HYG-01,6,64.0,0.17200000000000001,2.5813312717293537,1514.6555751004735,80.0,0.25,0,64.0
16574,S001,C,S001-WAT-03|S001-WAT-04|S001-WAT-05|S001-FOD-01|S001-FOD-02|S001-HYG-01|S001-HYG-02,7,70.0,0.20700000000000002,2.736852121903949,1580.6555751004735,80.0,0.25,0,72.0
16575,S001,C,S001-WAT-03|S001-WAT-04|S001-WAT-05|S001-FOD-01|S001-FOD-02|S001-HYG-02,6,64.0,0.17200000000000001,2.5813312717293537,1514.6555751004735,80.0,0.25,0,64.0
16576,S001,C,S001-WAT-03|S001-WAT-04|S001-WAT-05|S001-FOD-01|S001-FOD-03,5,58.0,0.137,2.4563073282824512,1448.6555751004735,80.0,0.25,0,56.0
16577,S001,C,S001-WAT-03|S001-WAT-04|S001-WAT-05|S001-FOD-01|S001-FOD-03|S001-HYG-01,6,64.0,0.17200000000000001,2.5813312717293537,1514.6555751004735,80.0,0.25,0,64.0
16578,S001,C,S001-WAT-03|S001-WAT-04|S001-WAT-05|S001-FOD-01|S001-FOD-03|S001-HYG-01|S001-HYG-02,7,70.0,0.20700000000000002,2.736852121903949,1580.6555751004735,80.0,0.25,0,72.0
16579,S001,C,S001-WAT-03|S001-WAT-04|S001-WAT-05|S001-FOD-01|S001-FOD-03|S001-HYG-02,6,64.0,0.17200000000000001,2.5813312717293537,1514.6555751004735,80.0,0.25,0,64.0
16580,S001,C,S001-WAT-03|S001-WAT-04|S001-WAT-05|S001-FOD-01|S001-HYG-01,5,56.0,0.14400000000000002,2.419978342213394,1448.6555751004735,80.0,0.25,0,54.0
16581,S001,C,S001-WAT-03|S001-WAT-04|S001-WAT-05|S001-FOD-01|S001-HYG-01|S001-HYG-02,6,62.0,0.17900000000000002,2.536719201172764,1514.6555751004735,80.0,0.25,0,62.0
16582,S001,C,S001-WAT-03|S001-WAT-04|S001-WAT-05|S001-FOD-01|S001-HYG-02,5,56.0,0.14400000000000002,2.419978342213394,1448.6555751004735,80.0,0.25,0,54.0
16583,S001,C,S001-WAT-03|S001-WAT-04|S001-WAT-05|S001-FOD-02,4,50.0,0.109,2.3239609322706523,1382.6555751004735,80.0,0.25,0,46.0
16584,S001,C,S001-WAT-03|S001-WAT-04|S001-WAT-05|S001-FOD-02|S001-FOD-03,5,58.0,0.137,2.4563073282824512,1448.6555751004735,80.0,0.25,0,56.0
16585,S001,C,S001-WAT-03|S001-WAT-04|S001-WAT-05|S001-FOD-02|S001-FOD-03|S001-HYG-01,6,64.0,0.17200000000000001,2.5813312717293537,1514.6555751004735,80.0,0.25,0,64.0
16586,S001,C,S001-WAT-03|S001-WAT-04|S001-WAT-05|S001-FOD-02|S001-FOD-03|S001-HYG-01|S001-HYG-02,7,70.0,0.20700000000000002,2.736852121903949,1580.6555751004735,80.0,0.25,0,72.0
16587,S001,C,S001-WAT-03|S001-WAT-04|S001-WAT-05|S001-FOD-02|S001-FOD-03|S001-HYG-02,6,64.0,0.17200000000000001,2.5813312717293537,1514.6555751004735,80.0,0.25,0,64.0
16588,S001,C,S001-WAT-03|S001-WAT-04|S001-WAT-05|S001-FOD-02|S001-HYG-01,5,56.0,0.14400000000000002,2.419978342213394,1448.6555751004735,80.0,0.25,0,54.0
16589,S001,C,S001-WAT-03|S001-WAT-04|S001-WAT-05|S001-FOD-02|S001-HYG-01|S001-HYG-02,6,62.0,0.17900000000000002,2.536719201172764,1514.6555751004735,80.0,0.25,0,62.0
16590,S001,C,S001-WAT-03|S001-WAT-04|S001-WAT-05|S001-FOD-02|S001-HYG-02,5,56.0,0.14400000000000002,2.419978342213394,1448.6555751004735,80.0,0.25,0,54.0
16591,S001,C,S001-WAT-03|S001-WAT-04|S001-WAT-05|S001-FOD-03,4,50.0,0.109,2.3239609322706523,1382.6555751004735,80.0,0.25,0,46.0
16592,S001,C,S001-WAT-03|S001-WAT-04|S001-WAT-05|S001-FOD-03|S001-HYG-01,5,56.0,0.14400000000000002,2.419978342213394,1448.6555751004735,80.0,0.25,0,54.0
16593,S001,C,S001-WAT-03|S001-WAT-04|S001-WAT-05|S001-FOD-03|S001-HYG-01|S001-HYG-02,6,62.0,0.17900000000000002,2.536719201172764,1514.6555751004735,80.0,0.25,0,62.0
16594,S001,C,S001-WAT-03|S001-WAT-04|S001-WAT-05|S001-FOD-03|S001-HYG-02,5,56.0,0.14400000000000002,2.419978342213394,1448.6555751004735,80.0,0.25,0,54.0
16595,S001,C,S001-WAT-03|S001-WAT-04|S001-WAT-05|S001-HYG-01,4,48.0,0.116,2.2957117349510248,1382.6555751004735,80.0,0.25,0,44.0
16596,S001,C,S001-WAT-03|S001-WAT-04|S001-WAT-05|S001-HYG-01|S001-HYG-02,5,54.0,0.15100000000000002,2.3859347360100447,1448.6555751004735,80.0,0.25,0,52.0
16597,S001,C,S001-WAT-03|S001-WAT-04|S001-WAT-05|S001-HYG-02,4,48.0,0.116,2.2957117349510248,1382.6555751004735,80.0,0.25,0,44.0
16598,S001,C,S001-WAT-03|S001-WAT-04|S001-WAT-06,3,42.0,0.081,2.2203536044104077,1316.6555751004735,80.0,0.25,0,36.0
16599,S001,C,S001-WAT-03|S001-WAT-04|S001-WAT-06|S001-WAT-07,4,56.0,0.108,2.419978342213394,1382.6555751004735,80.0,0.25,0,48.0
16600,S001,C,S001-WAT-03|S001-WAT-04|S001-WAT-06|S001-WAT-07|S001-WAT-08,5,70.0,0.135,2.736852121903949,1448.6555751004735,80.0,0.25,0,60.0
16601,S001,C,S001-WAT-03|S001-WAT-04|S001-WAT-06|S001-WAT-07|S001-WAT-08|S001-FOD-01,6,78.0,0.163,3.0133840801392706,1514.6555751004735,80.0,0.25,0,70.0
16602,S001,C,S001-WAT-03|S001-WAT-04|S001-WAT-06|S001-WAT-07|S001-WAT-08|S001-FOD-02,6,78.0,0.163,3.0133840801392706,1514.6555751004735,80.0,0.25,0,70.0
16603,S001,C,S001-WAT-03|S001-WAT-04|S001-WAT-06|S001-WAT-07|S001-WAT-08|S001-FOD-03,6,78.0,0.163,3.0133840801392706,1514.6555751004735,80.0,0.25,0,70.0
16604,S001,C,S001-WAT-03|S001-WAT-04|S001-WAT-06|S001-WAT-07|S001-WAT-08|S001-HYG-01,6,76.0,0.17,2.9348794824245474,1514.6555751004735,80.0,0.25,0,68.0
16605,S001,C,S001-WAT-03|S001-WAT-04|S001-WAT-06|S001-WAT-07|S001-WAT-08|S001-HYG-02,6,76.0,0.17,2.9348794824245474,1514.6555751004735,80.0,0.25,0,68.0
16606,S001,C,S001-WAT-03|S001-WAT-04|S001-WAT-06|S001-WAT-07|S001-FOD-01,5,64.0,0.136,2.5813312717293537,1448.6555751004735,80.0,0.25,0,58.0
16607,S001,C,S001-WAT-03|S001-WAT-04|S001-WAT-06|S001-WAT-07|S001-FOD-01|S001-FOD-02,6,72.0,0.164,2.797374326694065,1514.6555751004735,80.0,0.25,0,68.0
16608,S001,C,S001-WAT-03|S001-WAT-04|S001-WAT-06|S001-WAT-07|S001-FOD-01|S001-FOD-02|S001-FOD-03,7,80.0,0.192,3.0996533080482007,1580.6555751004735,80.0,0.25,0,78.0
16609,S001,C,S001-WAT-03|S001-WAT-04|S001-WAT-06|S001-WAT-07|S001-FOD-01|S001-FOD-02|S001-HYG-01,7,78.0,0.199,3.0133840801392706,1580.6555751004735,80.0,0.25,0,76.0
16610,S001,C,S001-WAT-03|S001-WAT-04|S001-WAT-06|S001-WAT-07|S001-FOD-01|S001-FOD-02|S001-HYG-02,7,78.0,0.199,3.0133840801392706,1580.6555751004735,80.0,0.25,0,76.0
16611,S001,C,S001-WAT-03|S001-WAT-04|S001-WAT-06|S001-WAT-07|S001-FOD-01|S001-FOD-03,6,72.0,0.164,2.797374326694065,1514.6555751004735,80.0,0.25,0,68.0
16612,S001,C,S001-WAT-03|S001-WAT-04|S001-WAT-06|S001-WAT-07|S001-FOD-01|S001-FOD-03|S001-HYG-01,7,78.0,0.199,3.0133840801392706,1580.6555751004735,80.0,0.25,0,76.0
16613,S001,C,S001-WAT-03|S001-WAT-04|S001-WAT-06|S001-WAT-07|S001-FOD-01|S001-FOD-03|S001-HYG-02,7,78.0,0.199,3.0133840801392706,1580.6555751004735,80.0,0.25,0,76.0
16614,S001,C,S001-WAT-03|S001-WAT-04|S001-WAT-06|S001-WAT-07|S001-FOD-01|S001-HYG-01,6,70.0,0.171,2.736852121903949,1514.6555751004735,80.0,0.25,0,66.0
16615,S001,C,S001-WAT-03|S001-WAT-04|S001-WAT-06|S001-WAT-07|S001-FOD-01|S001-HYG-01|S001-HYG-02,7,76.0,0.20600000000000002,2.9348794824245474,1580.6555751004735,80.0,0.25,0,74.0
16616,S001,C,S001-WAT-03|S001-WAT-04|S001-WAT-06|S001-WAT-07|S001-FOD-01|S001-HYG-02,6,70.0,0.171,2.736852121903949,1514.6555751004735,80.0,0.25,0,66.0
16617,S001,C,S001-WAT-03|S001-WAT-04|S001-WAT-06|S001-WAT-07|S001-FOD-02,5,64.0,0.136,2.5813312717293537,1448.6555751004735,80.0,0.25,0,58.0
16618,S001,C,S001-WAT-03|S001-WAT-04|S001-WAT-06|S001-WAT-07|S001-FOD-02|S001-FOD-03,6,72.0,0.164,2.797374326694065,1514.6555751004735,80.0,0.25,0,68.0
16619,S001,C,S001-WAT-03|S001-WAT-04|S001-WAT-06|S001-WAT-07|S001-FOD-02|S001-FOD-03|S001-HYG-01,7,78.0,0.199,3.0133840801392706,1580.6555751004735,80.0,0.25,0,76.0
16620,S001,C,S001-WAT-03|S001-WAT-04|S001-WAT-06|S001-WAT-07|S001-FOD-02|S001-FOD-03|S001-HYG-02,7,78.0,0.199,3.0133840801392706,1580.6555751004735,80.0,0.25,0,76.0
16621,S001,C,S001-WAT-03|S001-WAT-04|S001-WAT-06|S001-WAT-07|S001-FOD-02|S001-HYG-01,6,70.0,0.171,2.736852121903949,1514.6555751004735,80.0,0.25,0,66.0
16622,S001,C,S001-WAT-03|S001-WAT-04|S001-WAT-06|S001-WAT-07|S001-FOD-02|S001-HYG-01|S001-HYG-02,7,76.0,0.20600000000000002,2.9348794824245474,1580.6555751004735,80.0,0.25,0,74.0
16623,S001,C,S001-WAT-03|S001-WAT-04|S001-WAT-06|S001-WAT-07|S001-FOD-02|S001-HYG-02,6,70.0,0.171,2.736852121903949,1514.6555751004735,80.0,0.25,0,66.0
16624,S001,C,S001-WAT-03|S001-WAT-04|S001-WAT-06|S001-WAT-07|S001-FOD-03,5,64.0,0.136,2.5813312717293537,1448.6555751004735,80.0,0.25,0,58.0
16625,S001,C,S001-WAT-03|S001-WAT-04|S001-WAT-06|S001-WAT-07|S001-FOD-03|S001-HYG-01,6,70.0,0.171,2.736852121903949,1514.6555751004735,80.0,0.25,0,66.0
16626,S001,C,S001-WAT-03|S001-WAT-04|S001-WAT-06|S001-WAT-07|S001-FOD-03|S001-HYG-01|S001-HYG-02,7,76.0,0.20600000000000002,2.9348794824245474,1580.6555751004735,80.0,0.25,0,74.0
16627,S001,C,S001-WAT-03|S001-WAT-04|S001-WAT-06|S001-WAT-07|S001-FOD-03|S001-HYG-02,6,70.0,0.171,2.736852121903949,1514.6555751004735,80.0,0.25,0,66.0
16628,S001,C,S001-WAT-03|S001-WAT-04|S001-WAT-06|S001-WAT-07|S001-HYG-01,5,62.0,0.14300000000000002,2.536719201172764,1448.6555751004735,80.0,0.25,0,56.0
16629,S001,C,S001-WAT-03|S001-WAT-04|S001-WAT-06|S001-WAT-07|S001-HYG-01|S001-HYG-02,6,68.0,0.17800000000000002,2.680994819242537,1514.6555751004735,80.0,0.25,0,64.0
16630,S001,C,S001-WAT-03|S001-WAT-04|S001-WAT-06|S001-WAT-07|S001-HYG-02,5,62.0,0.14300000000000002,2.536719201172764,1448.6555751004735,80.0,0.25,0,56.0
16631,S001,C,S001-WAT-03|S001-WAT-04|S001-WAT-06|S001-WAT-08,4,56.0,0.108,2.419978342213394,1382.6555751004735,80.0,0.25,0,48.0
16632,S001,C,S001-WAT-03|S001-WAT-04|S001-WAT-06|S001-WAT-08|S001-FOD-01,5,64.0,0.136,2.5813312717293537,1448.6555751004735,80.0,0.25,0,58.0
16633,S001,C,S001-WAT-03|S001-WAT-04|S001-WAT-06|S001-WAT-08|S001-FOD-01|S001-FOD-02,6,72.0,0.164,2.797374326694065,1514.6555751004735,80.0,0.25,0,68.0
16634,S001,C,S001-WAT-03|S001-WAT-04|S001-WAT-06|S001-WAT-08|S001-FOD-01|S001-FOD-02|S001-FOD-03,7,80.0,0.192,3.0996533080482007,1580.6555751004735,80.0,0.25,0,78.0
16635,S001,C,S001-WAT-03|S001-WAT-04|S001-WAT-06|S001-WAT-08|S001-FOD-01|S001-FOD-02|S001-HYG-01,7,78.0,0.199,3.0133840801392706,1580.6555751004735,80.0,0.25,0,76.0
16636,S001,C,S001-WAT-03|S001-WAT-04|S001-WAT-06|S001-WAT-08|S001-FOD-01|S001-FOD-02|S001-HYG-02,7,78.0,0.199,3.0133840801392706,1580.6555751004735,80.0,0.25,0,76.0
16637,S001,C,S001-WAT-03|S001-WAT-04|S001-WAT-06|S001-WAT-08|S001-FOD-01|S001-FOD-03,6,72.0,0.164,2.797374326694065,1514.6555751004735,80.0,0.25,0,68.0
16638,S001,C,S001-WAT-03|S001-WAT-04|S001-WAT-06|S001-WAT-08|S001-FOD-01|S001-FOD-03|S001-HYG-01,7,78.0,0.199,3.0133840801392706,1580.6555751004735,80.0,0.25,0,76.0
16639,S001,C,S001-WAT-03|S001-WAT-04|S001-WAT-06|S001-WAT-08|S001-FOD-01|S001-FOD-03|S001-HYG-02,7,78.0,0.199,3.0133840801392706,1580.6555751004735,80.0,0.25,0,76.0
16640,S001,C,S001-WAT-03|S001-WAT-04|S001-WAT-06|S001-WAT-08|S001-FOD-01|S001-HYG-01,6,70.0,0.171,2.736852121903949,1514.6555751004735,80.0,0.25,0,66.0
16641,S001,C,S001-WAT-03|S001-WAT-04|S001-WAT-06|S001-WAT-08|S001-FOD-01|S001-HYG-01|S001-HYG-02,7,76.0,0.20600000000000002,2.9348794824245474,1580.6555751004735,80.0,0.25,0,74.0
16642,S001,C,S001-WAT-03|S001-WAT-04|S001-WAT-06|S001-WAT-08|S001-FOD-01|S001-HYG-02,6,70.0,0.171,2.736852121903949,1514.6555751004735,80.0,0.25,0,66.0
16643,S001,C,S001-WAT-03|S001-WAT-04|S001-WAT-06|S001-WAT-08|S001-FOD-02,5,64.0,0.136,2.5813312717293537,1448.6555751004735,80.0,0.25,0,58.0
16644,S001,C,S001-WAT-03|S001-WAT-04|S001-WAT-06|S001-WAT-08|S001-FOD-02|S001-FOD-03,6,72.0,0.164,2.797374326694065,1514.6555751004735,80.0,0.25,0,68.0
16645,S001,C,S001-WAT-03|S001-WAT-04|S001-WAT-06|S001-WAT-08|S001-FOD-02|S001-FOD-03|S001-HYG-01,7,78.0,0.199,3.0133840801392706,1580.6555751004735,80.0,0.25,0,76.0
16646,S001,C,S001-WAT-03|S001-WAT-04|S001-WAT-06|S001-WAT-08|S001-FOD-02|S001-FOD-03|S001-HYG-02,7,78.0,0.199,3.0133840801392706,1580.6555751004735,80.0,0.25,0,76.0
16647,S001,C,S001-WAT-03|S001-WAT-04|S001-WAT-06|S001-WAT-08|S001-FOD-02|S001-HYG-01,6,70.0,0.171,2.736852121903949,1514.6555751004735,80.0,0.25,0,66.0
16648,S001,C,S001-WAT-03|S001-WAT-04|S001-WAT-06|S001-WAT-08|S001-FOD-02|S001-HYG-01|S001-HYG-02,7,76.0,0.20600000000000002,2.9348794824245474,1580.6555751004735,80.0,0.25,0,74.0
16649,S001,C,S001-WAT-03|S001-WAT-04|S001-WAT-06|S001-WAT-08|S001-FOD-02|S001-HYG-02,6,70.0,0.171,2.736852121903949,1514.6555751004735,80.0,0.25,0,66.0
16650,S001,C,S001-WAT-03|S001-WAT-04|S001-WAT-06|S001-WAT-08|S001-FOD-03,5,64.0,0.136,2.5813312717293537,1448.6555751004735,80.0,0.25,0,58.0
16651,S001,C,S001-WAT-03|S001-WAT-04|S001-WAT-06|S001-WAT-08|S001-FOD-03|S001-HYG-01,6,70.0,0.171,2.736852121903949,1514.6555751004735,80.0,0.25,0,66.0
16652,S001,C,S001-WAT-03|S001-WAT-04|S001-WAT-06|S001-WAT-08|S001-FOD-03|S001-HYG-01|S001-HYG-02,7,76.0,0.20600000000000002,2.9348794824245474,1580.6555751004735,80.0,0.25,0,74.0
16653,S001,C,S001-WAT-03|S001-WAT-04|S001-WAT-06|S001-WAT-08|S001-FOD-03|S001-HYG-02,6,70.0,0.171,2.736852121903949,1514.6555751004735,80.0,0.25,0,66.0
16654,S001,C,S001-WAT-03|S001-WAT-04|S001-WAT-06|S001-WAT-08|S001-HYG-01,5,62.0,0.14300000000000002,2.536719201172764,1448.6555751004735,80.0,0.25,0,56.0
16655,S001,C,S001-WAT-03|S001-WAT-04|S001-WAT-06|S001-WAT-08|S001-HYG-01|S001-HYG-02,6,68.0,0.17800000000000002,2.680994819242537,1514.6555751004735,80.0,0.25,0,64.0
16656,S001,C,S001-WAT-03|S001-WAT-04|S001-WAT-06|S001-WAT-08|S001-HYG-02,5,62.0,0.14300000000000002,2.536719201172764,1448.6555751004735,80.0,0.25,0,56.0
16657,S001,C,S001-WAT-03|S001-WAT-04|S001-WAT-06|S001-FOD-01,4,50.0,0.109,2.3239609322706523,1382.6555751004735,80.0,0.25,0,46.0
16658,S001,C,S001-WAT-03|S001-WAT-04|S001-WAT-06|S001-FOD-01|S001-FOD-02,5,58.0,0.137,2.4563073282824512,1448.6555751004735,80.0,0.25,0,56.0
16659,S001,C,S001-WAT-03|S001-WAT-04|S001-WAT-06|S001-FOD-01|S001-FOD-02|S001-FOD-03,6,66.0,0.165,2.629298699872833,1514.6555751004735,80.0,0.25,0,66.0
16660,S001,C,S001-WAT-03|S001-WAT-04|S001-WAT-06|S001-FOD-01|S001-FOD-02|S001-FOD-03|S001-HYG-01,7,72.0,0.2,2.797374326694065,1580.6555751004735,80.0,0.25,0,74.0
16661,S001,C,S001-WAT-03|S001-WAT-04|S001-WAT-06|S001-FOD-01|S001-FOD-02|S001-FOD-03|S001-HYG-01|S001-HYG-02,8,78.0,0.235,3.0133840801392706,1646.6555751004735,80.0,0.25,0,82.0
16662,S001,C,S001-WAT-03|S001-WAT-04|S001-WAT-06|S001-FOD-01|S001-FOD-02|S001-FOD-03|S001-HYG-02,7,72.0,0.2,2.797374326694065,1580.6555751004735,80.0,0.25,0,74.0
16663,S001,C,S001-WAT-03|S001-WAT-04|S001-WAT-06|S001-FOD-01|S001-FOD-02|S001-HYG-01,6,64.0,0.17200000000000001,2.5813312717293537,1514.6555751004735,80.0,0.25,0,64.0
16664,S001,C,S001-WAT-03|S001-WAT-04|S001-WAT-06|S001-FOD-01|S001-FOD-02|S001-HYG-01|S001-HYG-02,7,70.0,0.20700000000000002,2.736852121903949,1580.6555751004735,80.0,0.25,0,72.0
16665,S001,C,S001-WAT-03|S001-WAT-04|S001-WAT-06|S001-FOD-01|S001-FOD-02|S001-HYG-02,6,64.0,0.17200000000000001,2.5813312717293537,1514.6555751004735,80.0,0.25,0,64.0
16666,S001,C,S001-WAT-03|S001-WAT-04|S001-WAT-06|S001-FOD-01|S001-FOD-03,5,58.0,0.137,2.4563073282824512,1448.6555751004735,80.0,0.25,0,56.0
16667,S001,C,S001-WAT-03|S001-WAT-04|S001-WAT-06|S001-FOD-01|S001-FOD-03|S001-HYG-01,6,64.0,0.17200000000000001,2.5813312717293537,1514.6555751004735,80.0,0.25,0,64.0
